scene, isNormal, angle, targetLocationX, targetLocationY, targetLocationZ, attackLocationX, attackLocationY, attackLocationZ
0,True,0,0.1025368,0.7323688,-5.95903,0.1025368,0.7323688,-5.95903
1,True,0,-1.83812,1.313818,-6.258398,-1.83812,1.313818,-6.258398
2,True,0,-1.017008,0.7458282,-6.131732,-1.017008,0.7458282,-6.131732
3,True,0,0.9943925,1.350518,-5.821452,0.9943925,1.350518,-5.821452
4,True,0,1.388351,2.489783,-5.760679,1.388351,2.489783,-5.760679
5,True,0,1.11976,3.460785,-5.802113,1.11976,3.460785,-5.802113
6,True,0,-1.820885,3.699783,-6.255739,-1.820885,3.699783,-6.255739
7,True,0,0.3062582,4.183145,-5.927604,0.3062582,4.183145,-5.927604
8,True,0,-0.6777167,0.666139,-6.079392,-0.6777167,0.666139,-6.079392
9,True,0,0.5810403,0.9636889,-5.885216,0.5810403,0.9636889,-5.885216
